01-08-2023,RENGA STORE,23124,0
01-08-2023,THIRUPATHI STORE,25545,0
01-08-2023,THIRUPATHI STORE,0,16775
01-08-2023,ANNAI STORE(BELL),9537,0
01-08-2023,AYYANAR STORE (Y-20),18210,0
01-08-2023,CHANDRA STORE,3370,0
01-08-2023,CHANDRA SUPER MARKET,3515,0
01-08-2023,CHANDRA SUPER MARKET,2200,0
01-08-2023,DHANALAKSHMI STORE,6000,0
01-08-2023,INDIRA STORE (11 TH),0,9087
01-08-2023,INDIRA STORE (11 TH),7725,0
01-08-2023,JAYALAKSHMI STORE(ARUM),4000,0
01-08-2023,LAKSHMAN & LAKSHMI SWEETS,4290,0
01-08-2023,MURUGAN STORE (18TH),5500,1127
01-08-2023,PADMA STORE,15000,0
01-08-2023,PERIYAPERATTI STORE,2200,0
01-08-2023,SELVAM STORE (NSK),4590,0
01-08-2023,SELVAM STORE(ARUM),7000,0
01-08-2023,PALLAVI STORE,3620,0
01-08-2023,PALLAVI STORE,20300,0
01-08-2023,SIVA STORE (THANGA COLONY),1500,0
01-08-2023,SIVA STORE (THANGA COLONY),5425,0
01-08-2023,CHANDRA SUPER MARKET,363,0
01-08-2023,TAYLORS  ROAD (VEG & FRUITS),3500,0
01-08-2023,ARTHI FISH STORE,2017,0
01-08-2023,AYYANAR STORE(CHOOLAI),84343,0
01-08-2023,AYYANAR STORE(NAVEL),5552,0
01-08-2023,BISMILLAH STORE,4065,0
01-08-2023,GANAPATHI BHAVAN,4450,0
01-08-2023,GANESH STORE(LOTUS),5505,0
01-08-2023,HOTEL SRI RAJ BHAVAN,29225,0
01-08-2023,LAKSHMI STORE(VOC),3910,0
01-08-2023,MURUGAN STORE (AMINJI) RAMAN,250,0
01-08-2023,MURUGAN STORES SUPER MARKET (RAJAN),140000,0
01-08-2023,NITHYA AMIRTHAM INDIAN FOOD PRIVATE LIMITED,40800,0
01-08-2023,PRABHA STORE MMDA,25956,0
01-08-2023,RAJA STORE (ARUM),710,0
01-08-2023,ARUL STORE (CHOO),10525,0
01-08-2023,MURUGAN SUPER MARKET (CHOOLAI),5000,0
01-08-2023,MUTHUKRISHNA STORE,10000,0
01-08-2023,NEW SELVAKUMAR STORE(NEW),14916,0
01-08-2023,SARANYA STORE(CHOO),3550,0
01-08-2023,SELVAKUMAR PROVISION STORE,7695,0
01-08-2023,VANAJA STORE,8168,0
01-08-2023,COOLDRINKS,4595,0
01-08-2023,ISHWARYA SWEETS,0,9480
01-08-2023,ISHWARYA SWEETS,4905,0
01-08-2023,RENGA STORE,20000,0
01-08-2023,CHANDRA STORE,1760,0
01-08-2023,CHANDRA SUPER MARKET,3029,0
01-08-2023,CHANDRA SUPER MARKET,2971,0
01-08-2023,DHANALAKSHMI STORE,1920,7000
01-08-2023,DHANALAKSHMI STORE,203,0
01-08-2023,LAKSHMAN & LAKSHMI SWEETS,2310,0
01-08-2023,MURUGAN STORE (18TH),3895,0
01-08-2023,SELVAM STORE (NSK),3144,0
01-08-2023,SELVAM STORE(ARUM),6000,0
01-08-2023,SIVA STORE (THANGA COLONY),0,4000
01-08-2023,SIVA STORE (THANGA COLONY),0,277
01-08-2023,SRI GANESH STORE (JAI),0,4805
01-08-2023,PADMA STORE,6070,0
01-08-2023,PADMA STORE,4000,0
01-08-2023,JAYALAKSHMI STORE(ARUM),1977,0
01-08-2023,ARTHI STORE(ARUM),2400,0
02-08-2023,AP SELVAM STORE,1625,0
02-08-2023,AP SELVAM STORE,7204,0
02-08-2023,ARCHANA STORE,2640,0
02-08-2023,ISMAIL STORE(KIL),4015,0
02-08-2023,JAMAILA STORE,4000,0
02-08-2023,SARAN SWEETS,0,3430
02-08-2023,SARAN SWEETS,4085,0
02-08-2023,TAYLORS  ROAD (VEG & FRUITS),4000,0
02-08-2023,TAYLORS  ROAD (VEG & FRUITS),0,3625
02-08-2023,ARTHI FISH STORE,1342,0
02-08-2023,RAJA STORE (ARUM),7815,0
02-08-2023,SOWTHA STORE,3874,0
02-08-2023,SRI BALAMURUGAN STORE,6998,0
02-08-2023,SRI BALAMURUGAN STORE,5630,0
02-08-2023,SRI GANESH STORE (JAI),6686,0
